id,name,category,pricePerDay,pricePerWeek,description,specs,image,available,featured,bookedDates
cam001,ARRI Alexa Mini LF Camera Body,cameras,500000,2500000,Flagship large-format digital cinema camera renowned for its superior image quality dynamic range and reliability in professional film productions.,{"resolution":"4.5K Super 35","video":"4K 120fps ARRIRAW","autofocus":"Advanced Focus System","storage":"Codex Compact Drive"},/gear/cam001.jpg,true,true,2025-12-20,2025-12-21
cam002,Sony FX9 Full-Frame Cinema Camera,cameras,300000,1500000,Professional 6K full-frame camera designed for broadcast and cinematic applications with electronic variable ND filter.,{"resolution":"6K Full Frame","video":"4K 120fps XAVC-I","autofocus":"Real-time Tracking","storage":"SDXC + CFexpress"},/gear/cam002.jpg,true,false,
cam003,Blackmagic URSA Broadcast G2,cameras,200000,1000000,Versatile studio and field camera with 6G-SDI and 12G-SDI connectivity for live production and ENG.,{"resolution":"UHD 4.6K","video":"1080p 60fps ProRes","dynamicRange":"12 stops","storage":"USB-C + SD"},/gear/cam003.jpg,false,true,2025-12-15,2025-12-16,2025-12-17
lens001,Zeiss Supreme Prime 50mm T1.5,lenses,100000,500000,High-end cine prime lens delivering exceptional sharpness minimal distortion and beautiful bokeh for large-format sensors.,{"focalLength":"50mm","aperture":"T1.5","mount":"PL Mount","coverage":"Full Frame"},/gear/lens001.jpg,true,true,
lens002,Canon CN-E 24-70mm T2.8 L F,lenses,80000,400000,Servo zoom cine lens with consistent T2.8 aperture ideal for broadcast and documentary work.,{"focalLength":"24-70mm","aperture":"T2.8","mount":"EF Mount","stabilization":"Power Zoom"},/gear/lens002.jpg,true,false,2025-12-18
light001,ARRI SkyPanel S60-C LED Softlight,lighting,150000,750000,Versatile RGBW LED panel for precise color control and soft illumination in studio and location shoots.,{"output":"2000 lux at 3m","colorTemp":"2800K-10000K + RGB","cri":"95+","control":"DMX + App"},/gear/light001.jpg,true,true,
light002,Aputure Nova P300c RGBWW LED,lighting,120000,600000,Powerful panel light with full color gamut for creative lighting designs in film and events.,{"output":"5600 lux at 3m","colorTemp":"2000K-10000K","cri":"96+","beamAngle":"120°"},/gear/light002.png,true,false,2025-12-19,2025-12-20
audio001,Sennheiser MKH 50 Supercardioid Mic,audio,40000,200000,Compact shotgun microphone with pristine sound capture for dialogue in challenging acoustic environments.,{"type":"Supercardioid Condenser","pattern":"Supercardioid","frequency":"40Hz - 20kHz","sensitivity":"-28 dB"},/gear/audio001.webp,true,true,
audio002,Zoom F8n Multi-Track Recorder,audio,60000,300000,8-input field recorder with 32-bit float recording for professional audio post-production.,{"channels":"8 Input","bitDepth":"32-bit Float","preamps":"Mic/Line","timecode":"Ambient Lock"},/gear/audio002.png,true,false,
motion001,DJI Ronin 2 Pro Gimbal Stabilizer,motion,100000,500000,Professional 3-axis gimbal for heavy cinema rigs enabling smooth tracking shots.,{"payload":"13.2kg","runtime":"2.5 hours","modes":"Pan Follow FPV","control":"Bluetooth + App"},/gear/motion001.jpg,true,true,2025-12-22
motion002,DJI Matrice 300 RTK Drone,motion,400000,2000000,Enterprise drone platform with advanced obstacle avoidance for aerial cinematography.,{"flightTime":"55 minutes","camera":"Zenmuse P1","transmission":"OcuSync 3.0","payload":"2.7kg"},/gear/motion002.png,true,false,
grip001,Manfrotto 504X Fluid Head Tripod,grip,50000,250000,Professional video tripod with fluid drag system for precise pan and tilt control.,{"payload":"11kg","height":"40-173cm","head":"Fluid Drag","legs":"Twin Leg Aluminum"},/gear/grip001.jpg,true,true,
grip002,Matthews Century C+ Stand Kit,grip,20000,100000,Versatile century stand for mounting lights flags and accessories on set.,{"height":"Up to 3.5m","base":"Rocky Mountain Legs","arm":"40 inch Steel Arm","head":"Grip Head"},/gear/grip002.jpg,true,false,
acc001,SmallHD Indie 7 Monitor,accessories,70000,350000,Bright 7-inch HDR monitor with touchscreen interface for on-set monitoring.,{"size":"7 inch","resolution":"1920x1200","brightness":"3000 nits","features":"Scopes LUT Support"},/gear/acc001.jpg,true,true,
acc002,Teradek Bolt 4K Wireless Video,accessories,90000,450000,Zero-delay wireless transmission system for 4K video up to 1500ft range.,{"resolution":"4K UHD","latency":"<0.001s","range":"1500ft LOS","frequency":"5GHz"},/gear/acc002.jpg,true,false,2025-12-16
power001,Anton Bauer Titon 240 V-Mount Battery,power,30000,150000,High-capacity V-mount battery for powering cameras and lights on extended shoots.,{"capacity":"240Wh","output":"14.4V 16.8A","runtime":"4-6 hours","charger":"Active Charge"},/gear/power001.jpg,true,true,
power002,SanDisk 1TB Extreme PRO CFexpress Card,power,20000,100000,High-speed media card for 8K RAW recording in demanding cinema workflows.,{"capacity":"1TB","speed":"1400MB/s Read","type":"Type B","durability":"IP68 Waterproof"},/gear/power002.jpg,true,false,
